I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-24, 0, 24, 12, -24, 12, -24, -19, -4, -4, -4, -14, 
-14, 0, 14, 7, -14, 7, -24, -19, -4, -4, -4, -4, 
-14, 4, 19, 4, -17, 12, -24, -19, -4, -4, -4, -4, 
-14, 4, 19, 4, -17, 12, -24, -19, -4, -4, -4, 4, 
-14, 0, 14, 7, -14, 7, -24, -24, -9, -4, -4, 4, 
-14, 0, 14, 7, -14, 7, -29, -24, -9, -4, 0, 0, 
-14, 0, 14, 7, -14, 7, -34, -24, -9, -9, 0, -4, 
-14, -9, 4, 12, -9, -2, -34, -24, -9, -14, -4, -4, 
-14, -14, 0, 14, -7, -7, -34, -24, -14, -14, -9, -4, 
-14, -19, -4, 17, -4, -12, -34, -29, -14, -14, -9, -4, 
-14, -19, -4, 17, -4, -12, -34, -29, -19, -19, -14, -4, 
-19, -19, 0, 19, -9, -9, -34, -34, -24, -19, -14, -4, 
-24, -19, 4, 21, -14, -7, -34, -34, -24, -14, -9, -4, 
-19, -14, 4, 17, -12, -4, -34, -34, -24, -14, -4, -9, 
-14, -14, 0, 14, -7, -7, -34, -39, -24, -14, 0, -14, 
-14, -19, -4, 17, -4, -12, -29, -39, -24, -14, 0, -9, 
-19, -19, 0, 19, -9, -9, -29, -39, -29, -14, 0, -9, 
-19, -19, 0, 19, -9, -9, -29, -39, -29, -14, -4, -9, 
-19, -19, 0, 19, -9, -9, -29, -43, -34, -19, -14, -14, 
-19, -24, -4, 21, -7, -14, -29, -43, -34, -19, -14, -14, 
-19, -29, -9, 24, -4, -19, -29, -43, -34, -19, -14, -14, 
-24, -29, -4, 26, -9, -17, -24, -48, -34, -19, -14, -9, 
-24, -34, -9, 29, -7, -21, -24, -48, -39, -19, -14, -9, 
-24, -34, -9, 29, -7, -21, -24, -48, -39, -24, -14, -9, 
-24, -34, -9, 29, -7, -21, -24, -53, -39, -24, -14, -9, 
-24, -34, -9, 29, -7, -21, -24, -53, -39, -24, -14, -9, 
-24, -34, -9, 29, -7, -21, -24, -53, -39, -24, -19, -9, 
-29, -29, 0, 29, -14, -14, -19, -53, -39, -24, -19, -9, 
-29, -24, 4, 26, -17, -9, -19, -53, -43, -24, -19, -14, 
-29, -24, 4, 26, -17, -9, -24, -53, -43, -24, -14, -4, 
-29, -24, 4, 26, -17, -9, -29, -53, -43, -29, -4, 4, 
-29, -24, 4, 26, -17, -9, -29, -53, -43, -29, -4, -4, 
-29, -29, 0, 29, -14, -14, -29, -53, -43, -29, -9, -14, 
-34, -29, 4, 31, -19, -12, -24, -53, -43, -29, -9, -14, 
-34, -29, 4, 31, -19, -12, -19, -53, -43, -29, -9, -24, 
-29, -29, 0, 29, -14, -14, -19, -53, -43, -29, -9, -14, 
-24, -29, -4, 26, -9, -17, -19, -53, -39, -29, -9, -14, 
-24, -24, 0, 24, -12, -12, -19, -48, -39, -24, -14, -14, 
-24, -24, 0, 24, -12, -12, -19, -48, -39, -24, -19, -14, 
-24, -24, 0, 24, -12, -12, -14, -43, -39, -24, -19, -9, 
